iter	Logloss	Accuracy
0	0.6832691348	0.6391047092
1	0.6754647116	0.6381789219
2	0.6685106518	0.6400304965
3	0.6621507197	0.6417757316
4	0.6572718348	0.6418660823
5	0.6528542907	0.6435595905
6	0.6492019281	0.6441385919
7	0.6463174375	0.6438376673
8	0.6439046097	0.6434228582
9	0.6418375577	0.6434036764
10	0.6396048399	0.6434342821
11	0.6381724086	0.6438597819
12	0.6369412998	0.643967375
13	0.6351202798	0.6437609402
14	0.6338524768	0.6443285176
15	0.632744677	0.6454682848
16	0.6318583558	0.6456176473
17	0.6310605739	0.6467773294
18	0.6302522593	0.6470182488
19	0.629634472	0.6476647531
20	0.6286954373	0.6488788348
21	0.6280930545	0.6487892173
22	0.6270204401	0.6498022096
23	0.6252000375	0.650325345
24	0.6242198482	0.6528278231
25	0.6237537869	0.6519974717
26	0.6229242308	0.6531544811
27	0.6221678526	0.655169775
28	0.6214197993	0.654970625
29	0.6211363457	0.6557492494
30	0.6205639645	0.6555627296
31	0.6197805661	0.6566546487
32	0.6189994019	0.6588066749
33	0.6183467741	0.6592474775
34	0.6175844383	0.6609096468
35	0.616860617	0.6608778348
36	0.6161439323	0.6618483244
37	0.6159458729	0.6618383669
38	0.6153652737	0.6626070339
39	0.6147587659	0.6629057589
40	0.6140004575	0.6642094581
41	0.6131920754	0.6647716902
42	0.6130870044	0.6647942779
43	0.6125930807	0.6661922068
44	0.6120513805	0.6666402943
45	0.6115930695	0.6667724145
46	0.6111831651	0.6670784243
47	0.6105906539	0.6685487283
48	0.6103801017	0.6688049506
49	0.6100399503	0.6688374958
50	0.6095335221	0.6698152703
51	0.6088570082	0.669766216
52	0.6083133513	0.6700894681
53	0.6078707942	0.67115686
54	0.6073372487	0.671686547
55	0.6068924652	0.6726244914
56	0.6065616782	0.6726444064
57	0.6058622004	0.6740277657
58	0.6052383374	0.6752571503
59	0.6045941886	0.6763398451
60	0.6043296242	0.6762031127
61	0.6039013843	0.6769047499
62	0.6036352598	0.6777178589
63	0.6031603854	0.6777159195
64	0.602760714	0.6768032354
65	0.6021204184	0.6773309829
66	0.6012806138	0.6778579972
67	0.6004920332	0.6791769993
68	0.6000530457	0.6802145187
69	0.5996929021	0.6802769364
70	0.5987475369	0.6818766879
71	0.5986289029	0.6821229527
72	0.5983485214	0.6823990901
73	0.5977164531	0.6827449299
74	0.5972176718	0.6829938674
75	0.5969179017	0.6836755895
76	0.5966821353	0.6842504518
77	0.5958291539	0.6851213664
78	0.5953120384	0.6859497783
79	0.5946596	0.6872959803
80	0.5939956563	0.6878934302
81	0.5927149783	0.6881350829
82	0.5921833509	0.688896465
83	0.5916330564	0.6897348345
84	0.5913803758	0.689904112
85	0.5910626144	0.690362157
86	0.5904177453	0.6916359837
87	0.5898992483	0.6917826735
88	0.5898022033	0.6920189808
89	0.5890581212	0.6928029506
90	0.5884395171	0.6938205551
91	0.5878213943	0.6940522502
92	0.5875479404	0.694258685
93	0.586872469	0.6943084725
94	0.5865108626	0.694696815
95	0.5863116405	0.6948136324
96	0.5853239153	0.696262082
97	0.584944805	0.6970977787
98	0.5843278629	0.6977994158
99	0.5835508632	0.6980383958
100	0.5828500498	0.6987752508
101	0.5821205927	0.6995240027
102	0.5814652809	0.6999349329
103	0.580886936	0.7002436154
104	0.5803789275	0.6999176906
105	0.579710541	0.7009433131
106	0.5794202201	0.7006698484
107	0.5790397953	0.7016150777
108	0.5784317114	0.7025729371
109	0.5780405665	0.7026824696
110	0.5770411844	0.7026751848
111	0.5764290158	0.7055507026
112	0.5760651746	0.7052573229
113	0.575351907	0.7072400716
114	0.5750263831	0.7079589511
115	0.5741404517	0.7088842653
116	0.5738240329	0.7086904607
117	0.5733007443	0.708237761
118	0.5729287651	0.7089095257
119	0.5721830546	0.709544133
120	0.5715194327	0.7089248285
121	0.5706296208	0.7106659245
122	0.5703578142	0.7105318649
123	0.5699291922	0.7102158976
124	0.5691558466	0.7112216051
125	0.5686115757	0.7113782524
126	0.5681047283	0.7120752774
127	0.5671318366	0.7133172922
128	0.5667039365	0.7135463146
129	0.5663062309	0.7138649546
130	0.5658470505	0.7144072718
131	0.5651051244	0.7155443662
132	0.5644735302	0.7166389579
133	0.5642360367	0.7162460033
134	0.5639934529	0.7169549253
135	0.5633010399	0.7173107226
136	0.5628736341	0.7178158824
137	0.5626467442	0.7179154574
138	0.5622371981	0.7186795122
139	0.5618665445	0.7194979666
140	0.5610126364	0.7203941416
141	0.5603942214	0.7216407685
142	0.5598860439	0.7219965658
143	0.5590796826	0.7220589835
144	0.5583503872	0.7224247383
145	0.5578637784	0.7232657804
146	0.5573224714	0.7237337829
147	0.5568946265	0.7246020248
148	0.5565993202	0.7247215148
149	0.5559487922	0.7250076097
150	0.5554752607	0.7256793743
151	0.5551372145	0.7263013514
152	0.5547544979	0.7261672918
153	0.5541985302	0.7263936416
154	0.5539002797	0.7266724516
155	0.5531020127	0.7272247262
156	0.5527931714	0.7268915166
157	0.5523429046	0.7272997741
158	0.551759685	0.7283598812
159	0.5514823144	0.7284023838
160	0.5509706659	0.7286712363
161	0.5504189025	0.7293881763
162	0.5500868195	0.7300227836
163	0.5494449988	0.7310105155
