iter	Passed	Remaining
0	430	214939
1	776	193468
2	1117	185126
3	1674	207649
4	2008	198881
5	2437	200707
6	2765	194787
7	3041	187072
8	3325	181407
9	3644	178575
10	4045	179822
11	4387	178419
12	4764	178481
13	5346	185602
14	5657	182930
15	5937	179609
16	6188	175826
17	6495	173935
18	6851	173449
19	7137	171293
20	7424	169358
21	7770	168838
22	8072	167416
23	8484	168283
24	8789	167006
25	9160	167008
26	9503	166490
27	9833	165770
28	10105	164125
29	10391	162806
30	10727	162291
31	10998	160850
32	11304	159973
33	11667	159920
34	12055	160170
35	12436	160287
36	12810	160304
37	13158	159975
38	13530	159934
39	13860	159394
40	14149	158407
41	14419	157244
42	14707	156308
43	15068	156159
44	15358	155294
45	15666	154618
46	16144	155607
47	16439	154801
48	16724	153937
49	17065	153593
50	17363	152865
51	17651	152071
52	17940	151306
53	18242	150671
54	18607	150549
55	18912	149947
56	19218	149365
57	19560	149062
58	19882	148614
59	20217	148262
60	20586	148153
61	21086	148962
62	21365	148201
63	21659	147557
64	21952	146915
65	22399	147293
66	22695	146675
67	23039	146365
68	23328	145720
69	23812	146276
70	24207	146265
71	24519	145753
72	24878	145522
73	25155	144814
74	25451	144227
75	25730	143549
76	26077	143255
77	26348	142552
78	26621	141871
79	26901	141234
80	27284	141137
81	27558	140482
82	27837	139857
83	28160	139463
84	28458	138945
85	28740	138354
86	29119	138231
87	29422	137752
88	29684	137084
89	29964	136505
90	30292	136149
91	30577	135603
92	30854	135031
93	31202	134769
94	31507	134321
95	31792	133792
96	32075	133260
97	32425	133010
98	32719	132530
99	32984	131937
100	33305	131574
101	33592	131076
102	33880	130587
103	34255	130433
104	34548	129966
105	34841	129505
106	35095	128903
107	35440	128634
108	35701	128066
109	35981	127570
110	36303	127224
111	36582	126730
112	36873	126282
113	37165	125840
114	37514	125591
115	37791	125103
116	38087	124678
117	38438	124434
118	38703	123916
119	39021	123566
120	39301	123102
121	39629	122787
122	39925	122372
123	40208	121924
124	40564	121692
125	40852	121259
126	41144	120841
127	41478	120546
128	41762	120108
129	42043	119661
130	42304	119161
131	42757	119201
132	43040	118766
133	43335	118363
134	43683	118107
135	43985	117724
136	44257	117265
137	44602	116999
138	44890	116587
139	45212	116259
140	45558	115996
141	45868	115640
142	46169	115262
143	46450	114834
144	46790	114557
145	47136	114289
146	47488	114036
147	47911	113951
148	48244	113650
149	48577	113347
150	48968	113177
151	49365	113020
152	49731	112789
153	50141	112656
154	50520	112449
155	50868	112170
156	51366	112221
157	51754	112025
158	52123	111787
159	52510	111585
160	52873	111329
161	53258	111118
162	53652	110926
163	54070	110777
164	54422	110493
165	54789	110239
166	55296	110262
167	55679	110032
168	56008	109697
169	56267	109224
170	56632	108959
171	56999	108696
172	57295	108298
173	57581	107881
174	57895	107519
175	58243	107220
176	58739	107191
177	59175	107047
178	59721	107098
179	60027	106714
180	60454	106547
181	60814	106258
182	61160	105943
183	61519	105652
184	61804	105234
185	62172	104957
186	62438	104509
187	62757	104150
188	63020	103699
189	63359	103375
190	63667	103000
191	63962	102606
192	64295	102272
193	64594	101886
194	64894	101502
195	65210	101142
196	65530	100789
197	65818	100389
198	66103	99986
199	66457	99685
200	66747	99291
201	67034	98892
202	67407	98621
203	67680	98203
204	67955	97789
205	68223	97366
206	68564	97050
207	68840	96641
208	69136	96261
209	69578	96084
210	69981	95851
211	70279	95473
212	70628	95166
213	70986	94870
214	71276	94482
215	71745	94331
216	72066	93985
217	72363	93608
218	72686	93264
219	72975	92878
220	73300	92537
221	73654	92233
222	74012	91934
223	74285	91530
224	74639	91226
225	74938	90854
226	75239	90485
227	75590	90178
228	75892	89811
229	76185	89435
230	76448	89024
231	76800	88717
232	77074	88321
233	77378	87959
234	77724	87646
235	78013	87269
236	78346	86941
237	78848	86799
238	79228	86521
239	79604	86238
240	80001	85976
241	80375	85689
242	80666	85314
243	81073	85061
244	81390	84712
245	81706	84363
246	82040	84033
247	82395	83724
248	82712	83376
249	83040	83040
250	83375	82711
251	83663	82335
252	84020	82027
253	84364	81707
254	84708	81386
255	85079	81091
256	85395	80743
257	85698	80383
258	86048	80068
259	86319	79679
260	86620	79318
261	86952	78987
262	87263	78637
263	87547	78261
264	87846	77901
265	88174	77567
266	88431	77170
267	88700	76785
268	89038	76460
269	89327	76093
270	89618	75729
271	89922	75376
272	90242	75037
273	90575	74708
274	90903	74375
275	91268	74072
276	91577	73724
277	91906	73392
278	92223	73051
279	92553	72720
280	92837	72353
281	93193	72043
282	93486	71684
283	93791	71334
284	94104	70990
285	94456	70677
286	94736	70309
287	95038	69958
288	95352	69616
289	95662	69272
290	95946	68910
291	96272	68577
292	96580	68232
293	96893	67891
294	97284	67604
295	97594	67260
296	98189	67112
297	98533	66791
298	98845	66448
299	99134	66089
300	99463	65758
301	99756	65403
302	100045	65046
303	100387	64723
304	100787	64437
305	101145	64125
306	101585	63862
307	101885	63513
308	102224	63187
309	102596	62881
310	103017	62605
311	103284	62235
312	103641	61920
313	103934	61566
314	104348	61284
315	104809	61028
316	105115	60681
317	105396	60321
318	105917	60097
319	106372	59834
320	106738	59520
321	107050	59176
322	107590	58958
323	108057	58697
324	108357	58346
325	108650	57991
326	109047	57691
327	109448	57393
328	109851	57095
329	110192	56765
330	110500	56418
331	110845	56090
332	111158	55746
333	111438	55385
334	111722	55027
335	112092	54711
336	112389	54360
337	112803	54065
338	113145	53735
339	113456	53391
340	113743	53035
341	114083	52705
342	114374	52352
343	114663	51998
344	114972	51654
345	115329	51331
346	115662	50997
347	115991	50662
348	116268	50305
349	116558	49953
350	116832	49595
351	117143	49253
352	117428	48900
353	117711	48547
354	117986	48191
355	118355	47873
356	118663	47531
357	118948	47180
358	119288	46851
359	119607	46514
360	119879	46158
361	120252	45842
362	120538	45492
363	120836	45147
364	121167	44815
365	121455	44467
366	121777	44131
367	122082	43790
368	122420	43460
369	122718	43117
370	123001	42768
371	123343	42440
372	123632	42094
373	123945	41757
374	124338	41446
375	124615	41096
376	124922	40757
377	125278	40433
378	125555	40084
379	125861	39745
380	126132	39395
381	126483	39070
382	126760	38723
383	127042	38377
384	127330	38033
385	127637	37696
386	127949	37359
387	128238	37017
388	128562	36684
389	128843	36340
390	129134	35999
391	129439	35661
392	129735	35322
393	130023	34980
394	130317	34641
395	130653	34313
396	130914	33965
397	131195	33622
398	131495	33285
399	131797	32949
400	132073	32606
401	132402	32277
402	132749	31952
403	133039	31613
404	133346	31278
405	133691	30953
406	133984	30615
407	134286	30280
408	134600	29947
409	134957	29624
410	135257	29289
411	135549	28952
412	135886	28625
413	136199	28292
414	136498	27957
415	136813	27625
416	137106	27289
417	137404	26955
418	137694	26618
419	137999	26285
420	138296	25951
421	138606	25619
422	138916	25287
423	139215	24953
424	139519	24621
425	139842	24291
426	140216	23971
427	140511	23637
428	140784	23300
429	141121	22973
430	141402	22637
431	141721	22307
432	142053	21980
433	142456	21663
434	142766	21332
435	143116	21007
436	143394	20672
437	143690	20339
